role_id,role_name
783,Fiberglass Fabricator
784,Timing Device Adjuster
785,Miscellaneous Fabricator
786,Metal Worker
787,Forming Machine Setter
788,Extruding and Drawing Machine Setter
789,Forging Machine Setter
790,Rolling Machine Setter
791,Machine Tool Cutting Setter
792,"Cutting, Punching, and Press Machine Setter"
793,Drilling and Boring Machine Tool Setter
794,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setter"
795,Lathe and Turning Machine Tool Setter
796,Milling and Planing Machine Setter
797,Machinist
798,Plastic Worker
799,Forming Machine Operator
800,Forming Machine Tender
801,Extruding and Drawing Machine Operator
802,Extruding and Drawing Machine Tender
803,Forging Machine Operator
804,Forging Machine Tender
805,Rolling Machine Operator
806,Rolling Machine Tender
807,Machine Tool Cutting Tender
808,Machine Tool Cutting Operator
809,"Cutting, Punching, and Press Machine Operator"
810,"Cutting, Punching, and Press Machine Tender"
811,Drilling and Boring Machine Tool Operator
812,Drilling and Boring Machine Tool Tender
813,"Grinding, Lapping, Polishing, and Buffing Machine Tool Operator"
814,"Grinding, Lapping, Polishing, and Buffing Machine Tool Tender"
815,Lathe and Turning Machine Tool Operator
816,Lathe and Turning Machine Tool Tender
817,Milling and Planing Machine Operator
818,Milling and Planing Machine Tender
819,Metal Furnace Operator
820,Metal-Refining Furnace Operator
821,"Pourer, Metal"
822,Model Maker
823,Molder
824,Molding Machine Setter
825,Molding Machine Operator
826,Foundry Mold and Coremaker
827,"Molding, Coremaking, and Casting Machine Setter"
828,Multiple Machine Tool Setter
829,Tool and Die Maker
830,Metal Furnace Tender
831,Metal Furnace Pourer
832,Metal Furnace Caster
833,Metal-Refining Furnace Tender
834,"Caster, Metal"
835,Patternmaker
836,Molding Machine Tender
837,"Molding, Coremaking, and Casting Machine Operator"
838,"Molding, Coremaking, and Casting Machine Tender"
839,Multiple Machine Tool Operator
840,Multiple Machine Tool Tender
841,Welder
842,Cutter
843,"Welding, Soldering, and Brazing Machine Tender"
844,Miscellaneous Metal Worker
845,Heat Treating Equipment Setter
846,Layout Worker
847,Plating Machine Operator
848,Tool Sharpener
849,Brazer
850,Solderer
851,"Welding, Soldering, and Brazing Machine Setter"
852,"Welding, Soldering, and Brazing Machine Operator"
853,Heat Treating Equipment Operator
854,Heat Treating Equipment Tender
855,Plating Machine Tender
856,Plating Machine Setter
857,Tool Grinder
858,Tool Filer
859,Printing Worker
860,Prepress Technician
861,Printing Press Operator
862,Print Binding Worker
863,Textile Worker
864,Laundry Worker
865,Leather Worker
866,Sewing Machine Operator
867,Prepress Worker
868,Apparel Worker
869,Furnishings Worker
870,Dry-Cleaning Worker
871,Shoe Worker
872,Shoe and Leather Repairer
873,Shoe Machine Operator
874,Sewer
875,"Sewer, Hand"
876,Textile Machine Setter
877,Textile Machine Operator
878,Textile Bleaching and Dyeing Machine Operator
879,Textile Cutting Machine Setter
880,Textile Knitting and Weaving Machine Setter
881,"Textile Winding, Twisting, and Drawing Out Machine Setter"
882,Miscellaneous Textile Worker
883,"Extruding and Forming Machine Setter, Synthetic and Glass Fiber"
884,Fabric Patternmaker
885,Upholsterer
886,Shoe Machine Tender
887,Tailor
888,Dressmaker
889,Textile Machine Tender
890,Textile Bleaching and Dyeing Machine Tender
891,Textile Cutting Machine Operator
892,Textile Cutting Machine Tender
893,Textile Knitting and Weaving Machine Operator
894,Textile Knitting and Weaving Machine Tender
895,"Textile Winding, Twisting, and Drawing Out Machine Operator"
896,"Textile Winding, Twisting, and Drawing Out Machine Tender"
897,"Extruding and Forming Machine Operator, Synthetic and Glass Fiber"
898,"Extruding and Forming Machine Tender, Synthetic and Glass Fiber"
899,Apparel Patternmaker
900,Plant and System Operator
901,Power Plant Operator
902,Nuclear Power Reactor Operator
903,Power Distributor
904,Boiler Operator
905,Stationary Engineer
906,Water and Wastewater Treatment Plant and System Operator
907,Miscellaneous Plant and System Operator
908,Chemical Plant and System Operator
909,Gas Plant Operator
910,Petroleum Pump System Operator
911,Power Plant Dispatcher
912,Power Plant Distributor
913,Power Dispatcher
914,Refinery Operator
915,Packaging and Filling Machine Operator
916,Dental Laboratory Technician
917,Decorating Worker
918,Ophthalmic Laboratory Technician
919,Packaging and Filling Machine Tender
920,Painting Worker
921,Coating Worker
922,"Coating, Painting, and Spraying Machine Setter"
923,Semiconductor Processing Technician
924,Photographic Process Worker
925,Adhesive Bonding Machine Tender
926,Computer Numerically Controlled Tool Operator
927,Computer Numerically Controlled Tool Programmer
928,Miscellaneous Production Worker
929,Adhesive Bonding Machine Operator
