id,name,world_rank,country
1515,University of Crete,515,Greece
1516,SUNY Downstate Medical Center,516,USA
1517,University of Potsdam,517,Germany
1518,Yokohama National University,518,Japan
1519,New Mexico State University,519,USA
1520,University of Bayreuth,520,Germany
1521,Bar-Ilan University,521,Israel
1522,University of Mississippi - Oxford Campus,522,USA
1523,University of Tasmania,523,Australia
1524,Graduate University for Advanced Studies,524,Japan
1525,University of Surrey,525,United Kingdom
1526,Federal University of Minas Gerais,526,Brazil
1527,University of Tromsø - The Arctic University of Norway,527,Norway
1528,University of Palermo,528,Italy
1529,Shinshu University,529,Japan
1530,University of Science and Technology Beijing,530,China
1531,University of Catania,531,Italy
1532,Mahidol University,532,Thailand
1533,University of Canterbury,533,New Zealand
1534,Indian Institute of Technology Madras,534,India
1535,University of Bremen,535,Germany
1536,Otto-von-Guericke University Magdeburg,536,Germany
1537,University of Tartu,537,Estonia
1538,University of Windsor,538,Canada
1539,University of Nantes,539,France
1540,"Royal Holloway, University of London",540,United Kingdom
1541,James Cook University,541,Australia
1542,National Yang-Ming University,542,Taiwan
1543,University of Akron,543,USA
1544,National Chung Hsing University,544,Taiwan
1545,City University London,545,United Kingdom
1546,New York Medical College,546,USA
1547,Nara Institute of Science and Technology,547,Japan
1548,École Centrale Paris,548,France
1549,Auburn University,549,USA
1550,University of Arkansas - Fayetteville,550,USA
1551,University of Zagreb,551,Croatia
1552,University of Lübeck,552,Germany
1553,Hunan University,553,China
1554,University of Missouri–Kansas City,554,USA
1555,Tokyo Women's Medical University,555,Japan
1556,Montana State University - Bozeman,556,USA
1557,University of Aveiro,557,Portugal
1558,"National University of Ireland, Galway",558,Ireland
1559,University of Oviedo,559,Spain
1560,Dongguk University,560,South Korea
1561,University of Trento,561,Italy
1562,University Lille 1: Sciences and Technologies,562,France
1563,Chang Gung University,563,Taiwan
1564,National Central University,564,Taiwan
1565,Aalborg University,565,Denmark
1566,Utah State University,566,USA
1567,Baylor University,567,USA
1568,Bangor University,568,United Kingdom
1569,King Saud University,569,Saudi Arabia
1570,University of Cagliari,570,Italy
1571,Kent State University,571,USA
1572,Central China Normal University,572,China
1573,University of Fribourg,573,Switzerland
1574,Medical University of Graz,574,Austria
1575,Second University of Naples,575,Italy
1576,International School for Advanced Studies,576,Italy
1577,Tampere University of Technology,577,Finland
1578,Inha University,578,South Korea
1579,Deakin University,579,Australia
1580,National Polytechnic Institute of Toulouse,580,France
1581,Sogang University,581,South Korea
1582,University of Ioannina,582,Greece
1583,Federal University of Rio Grande do Sul,583,Brazil
1584,University of Graz,584,Austria
1585,University of Montana - Missoula,585,USA
1586,East China Normal University,586,China
1587,Plymouth University,587,United Kingdom
1588,Victoria University of Wellington,588,New Zealand
1589,Federal University of São Paulo,589,Brazil
1590,Southern Illinois University Carbondale,590,USA
1591,University of Alaska Fairbanks,591,USA
1592,University of Toledo,592,USA
1593,Carleton University,593,Canada
1594,Cranfield University,594,United Kingdom
1595,Curtin University,595,Australia
1596,Indian Institute of Technology Bombay,596,India
1597,University of Portsmouth,597,United Kingdom
1598,Osaka Prefecture University,598,Japan
1599,Nagoya City University,599,Japan
1600,LSU Health Sciences Center New Orleans,600,USA
1601,Tata Institute of Fundamental Research,601,India
1602,Konkuk University,602,South Korea
1603,University of La Laguna,603,Spain
1604,University of Hertfordshire,604,United Kingdom
1605,Florida International University,605,USA
1606,University of Rhode Island,606,USA
1607,Mississippi State University,607,USA
1608,Gunma University,608,Japan
1609,University of New Orleans,609,USA
1610,"Putra University, Malaysia",610,Malaysia
1611,Memorial University of Newfoundland,611,Canada
1612,Universidade Nova de Lisboa,612,Portugal
1613,Griffith University,613,Australia
1614,Indian Institute of Technology Kharagpur,614,India
1615,Soochow University (Suzhou),615,China
1616,Texas A&M Health Science Center,616,USA
1617,Semmelweis University,617,Hungary
1618,Lille 2 University of Health and Law,618,France
1619,Kagoshima University,619,Japan
1620,Flinders University,620,Australia
1621,Queensland University of Technology,621,Australia
1622,Tokai University,622,Japan
1623,Istanbul University,623,Turkey
1624,Tokyo University of Agriculture and Technology,624,Japan
1625,Louisiana Tech University,625,USA
1626,University of Texas at Arlington,626,USA
1627,China Agricultural University,627,China
1628,Chungnam National University,628,South Korea
1629,University of Minho,629,Portugal
1630,"University of Eastern Piedmont Amedeo Avogadro""""",630,Italy
1631,Open University (UK),631,United Kingdom
1632,University of Essex,632,United Kingdom
1633,Paris-Est Créteil Val-de-Marne University,633,France
1634,Hacettepe University,634,Turkey
1635,State University of New York Upstate Medical University,635,USA
1636,Braunschweig University of Technology,636,Germany
1637,University of Salamanca,637,Spain
1638,Indian Institute of Technology Roorkee,638,India
1639,Örebro University,639,Sweden
1640,Northeast Normal University,640,China
1641,University of Patras,641,Greece
1642,Beijing University of Chemical Technology,642,China
1643,Northern Illinois University,643,USA
1644,Rovira i Virgili University,644,Spain
1645,La Trobe University,645,Australia
1646,Warsaw University of Technology,646,Poland
1647,Binghamton University,647,USA
1648,Shizuoka University,648,Japan
1649,Hong Kong Baptist University,649,Hong Kong
1650,Albany Medical College,650,USA
1651,Ehime University,651,Japan
1652,University of Los Andes (Colombia),652,Colombia
1653,Polytechnic University of Turin,653,Italy
1654,University of Burgundy,654,France
1655,University of Idaho,655,USA
1656,Old Dominion University,656,USA
1657,Yamaguchi University,657,Japan
1658,Massey University,658,New Zealand
1659,Donghua University,659,China
1660,University of the Balearic Islands,660,Spain
1661,Portland State University,661,USA
1662,Marche Polytechnic University,662,Italy
1663,University of Québec at Montreal,663,Canada
1664,"UNESP, São Paulo State University",664,Brazil
1665,Loma Linda University,665,USA
1666,University of Toyama,666,Japan
1667,University of Debrecen,667,Hungary
1668,"University of Maine, Orono",668,USA
1669,Graz University of Technology,669,Austria
1670,Gifu University,670,Japan
1671,University of Jyväskylä,671,Finland
1672,University of Paris 13,672,France
1673,University of Girona,673,Spain
